01,1101,21;17
01,1216,17;13
01,1260,15;11
01,1266,21;17
01,1271,18;13
01,1276,20;14
01,1281,15;11
01,1282,21;17
01,1401,23;19
01,1411,23;19
01,1421,22;18
01,1427,23;19
01,1451,18;14
01,1521,18;14
01,1537,23;19
01,1551,18;14
01,1553,23;14
01,1556,18;14
01,1557,18;14
01,1561,20;16
01,1562,18;14
01,1566,18;14
01,1571,21;17
01,1581,19;15
01,1591,21;17
01,1601,16;12
01,1606,18;14
01,1611,16;12
01,1636,26;22
01,1641,21;15
01,1651,25;21
01,1656,23;19
01,1661,21;17
01,1681,25;18
01,1696,23;14
01,1760,23;19
01,1801,18;13
01,1811,15;11
01,1816,17;14
01,1821,15;12
01,1841,15;12
01,1861,15;12
01,2101,15;11
01,2116,14;10
01,2121,16;12
01,2201,18;12
01,2401,19;13
01,2416,19;14
01,2501,17;12
01,2506,18;14
01,2511,16;12
01,2516,17;13
01,2521,21;15
01,2526,22;18
01,2536,19;15
01,2551,18;14
01,2561,18;14
01,2628,17;14
01,2630,16;10
01,2707,17;12
01,2726,16;10
02,1266,21;17
02,1276,20;14
02,1281,15;11
02,1282,21;17
02,1401,22;18
02,1411,18;14
02,1421,18;14
02,1636,23;14
02,1656,21;13
02,1661,18;14
02,1681,18;14
02,1816,17;14
02,1821,15;12
02,1841,15;12
02,2101,15;11
02,2116,13;9
02,2121,16;12
02,2516,17;13
02,2521,21;15
02,2561,18;14
02,2726,16;10
03,1101,22;15
03,1266,21;14
03,1276,24;15
03,1282,21;14
03,1401,19;15
03,1411,19;15
03,1421,19;15
03,1661,18;14
03,1681,18;14
03,1816,17;14
03,1821,15;12
03,1841,15;12
03,1861,15;12
03,2501,17;12
03,2511,16;12
03,2516,17;13
03,2521,21;15
03,2526,22;18
03,2561,18;14
04,1101,26;0
04,1216,22;18
04,1271,20;19
04,1281,20;19
04,1282,21;0
04,1401,16;0
04,1411,20;0
04,1421,16;0
04,1427,19;0
04,1451,19;15
04,1521,20;16
04,1551,20;16
04,1553,20;16
04,1557,20;16
04,1561,20;0
04,1562,18;14
04,1566,18;14
04,1571,28;0
04,1581,21;0
04,1591,21;0
04,1636,26;0
04,1651,26;0
04,1656,26;0
04,1661,26;0
04,1681,26;0
04,1911,13;10
04,1941,12;0
04,1951,15;11
04,2101,29;25
04,2201,29;25
04,2511,16;0
04,2516,17;0
04,2521,21;0
04,2526,22;0
04,2536,19;0
04,2551,24;0
04,2561,18;0
04,2578,18;0
04,2580,18;0
04,2581,22;0
04,2726,16;10
04,2826,20;16
05,1201,29;28
05,1606,25;24
05,1801,18;13
05,1816,17;14
05,1821,15;12
05,1841,15;12
05,1861,15;12
05,1901,23;13
05,1911,18;13
05,1941,18;13
05,1942,19;15
05,1951,22;18
05,2006,21;14
05,2101,19;14
05,2116,16;12
05,2121,19;14
05,2201,18;12
05,2306,14;10
05,2501,17;12
05,2506,18;14
05,2511,18;14
05,2516,19;15
05,2521,21;15
05,2526,22;18
05,2536,19;15
05,2541,19;15
05,2551,18;14
05,2561,24;19
05,2578,21;20
05,2616,21;20
05,2621,19;15
05,2628,17;14
05,2630,16;10
05,2707,17;12
05,2726,16;10
05,2826,20;16
06,1201,15;14
06,1216,17;16
06,1901,23;13
06,2101,19;14
06,2116,16;12
06,2121,19;14
06,2201,18;12
06,2301,17;14
06,2306,14;10
06,2501,17;12
06,2516,17;13
06,2521,21;15
06,2561,18;14
06,2601,16;12
06,2616,23;20
06,2621,19;15
06,2628,17;14
06,2826,20;16
07,1201,47;26
07,1551,31;25
07,1566,29;0
07,1581,31;0
07,1591,29;0
07,1601,33;27
07,1606,28;23
07,1611,26;19
07,1636,31;0
07,1651,38;0
07,1656,35;0
07,1661,31;0
07,1681,31;0
07,1876,18;14
07,2101,38;30
07,2506,36;31
07,2511,31;24
07,2521,41;27
07,2526,38;26
07,2536,35;28
08,1208,20;0
08,1760,26;0
08,1901,21;15
08,1911,21;16
08,1941,18;13
08,1942,18;13
08,1951,19;15
08,2006,19;15
08,2101,28;24
08,2116,28;24
08,2201,21;20
08,2301,17;0
08,2511,16;12
08,2516,17;13
08,2541,19;15
08,2561,21;17
08,2578,18;14
08,2580,23;19
08,2616,21;0
08,2621,19;15
08,2726,19;15
08,2826,19;16
09,1201,24;0
09,1216,24;0
09,1636,24;0
09,1656,24;0
09,1681,24;0
09,1760,26;0
09,1901,21;15
09,1911,21;16
09,1941,18;13
09,1942,18;13
09,2006,19;15
09,2101,23;18
09,2201,21;17
09,2301,17;0
09,2511,16;12
09,2516,17;13
09,2551,19;15
09,2561,21;17
09,2581,19;15
09,2616,21;0
10,1216,17;13
10,2101,15;11
10,2201,18;12
10,2707,17;12
10,2726,16;10
12,1201,29;28
12,1606,22;21
12,1760,24;20
12,1801,18;13
12,1816,17;14
12,1821,15;12
12,1841,15;12
12,1861,15;12
12,1901,23;13
12,1911,18;13
12,1941,18;13
12,1942,19;15
12,1951,22;18
12,2006,21;14
12,2101,19;14
12,2116,16;12
12,2121,19;14
12,2201,18;12
12,2306,14;10
12,2501,17;12
12,2506,18;14
12,2511,18;14
12,2516,19;15
12,2521,21;15
12,2526,22;18
12,2536,19;15
12,2541,19;15
12,2551,18;14
12,2561,23;19
12,2578,24;20
12,2616,21;20
12,2621,19;15
12,2628,17;14
12,2630,16;10
12,2707,17;12
12,2726,16;10
12,2826,20;16
13,1201,29;28
13,1606,25;24
13,1801,18;13
13,1816,17;14
13,1821,15;12
13,1841,15;12
13,1861,15;12
13,1901,23;13
13,1911,18;13
13,1941,18;13
13,1942,19;15
13,1951,22;22
13,2006,21;14
13,2101,19;14
13,2116,16;12
13,2121,19;14
13,2201,18;12
13,2306,14;10
13,2501,17;12
13,2506,18;14
13,2511,18;14
13,2516,19;15
13,2521,21;15
13,2526,22;18
13,2536,19;15
13,2541,19;15
13,2551,18;14
13,2561,23;19
13,2578,24;20
13,2616,21;20
13,2621,19;15
13,2628,17;14
13,2630,16;10
13,2707,17;12
13,2726,16;10
13,2826,20;16
14,1411,30;0
14,1636,34;0
14,1656,34;0
14,1941,20;0
14,2121,26;0
14,2201,26;19
14,2521,35;32
14,2726,30;25
14,2826,25;19
15,2121,19;14
15,2516,17;13
15,2726,16;10
17,1201,24;0
17,1216,24;0
17,1636,24;0
17,1656,24;0
17,1681,24;0
17,1760,26;0
17,1901,21;15
17,1911,21;16
17,1941,18;13
17,1942,18;13
17,2006,19;15
17,2101,23;18
17,2201,21;17
17,2301,17;0
17,2511,16;12
17,2516,17;13
17,2551,21;17
17,2561,19;15
17,2581,19;15
17,2616,21;0
17,2621,19;15
18,1636,28;25
18,1656,27;24
18,1681,24;21
18,1901,21;15
18,1911,21;16
18,1941,18;13
18,1942,18;13
18,2006,19;15
18,2101,23;18
18,2201,21;17
18,2301,17;0
18,2511,16;12
18,2516,17;13
18,2551,19;15
18,2561,21;17
18,2581,19;15
18,2616,21;0
18,2621,19;15
19,1411,20;15
19,1661,21;17
19,2121,19;14
19,2726,16;10
20,1208,20;0
20,1901,21;15
20,1911,21;16
20,1941,18;13
20,1942,18;13
20,1951,19;15
20,2006,19;15
20,2101,28;24
20,2116,28;24
20,2201,21;20
20,2301,17;0
20,2511,16;12
20,2516,17;13
20,2541,19;15
20,2561,21;17
20,2578,18;14
20,2580,23;19
20,2616,21;0
20,2621,19;15
20,2726,19;15
20,2826,19;16
21,1101,21;17
21,1216,17;13
21,1260,15;11
21,1266,21;17
21,1271,18;13
21,1276,20;14
21,1281,15;11
21,1282,21;17
21,1401,23;19
21,1411,23;19
21,1421,23;19
21,1427,22;18
21,1451,18;14
21,1521,18;14
21,1537,23;19
21,1551,18;14
21,1553,23;14
21,1556,18;14
21,1557,18;14
21,1561,18;16
21,1562,20;14
21,1566,18;14
21,1571,18;17
21,1581,21;15
21,1591,19;17
21,1601,21;12
21,1606,18;14
21,1611,16;12
21,1636,26;22
21,1641,21;15
21,1651,25;21
21,1656,23;19
21,1661,21;17
21,1681,25;18
21,1696,23;14
21,1760,23;19
21,1801,18;13
21,1811,15;11
21,1816,17;14
21,1821,15;12
21,1841,15;12
21,1861,15;12
21,2101,15;11
21,2116,14;10
21,2121,16;12
21,2201,18;12
21,2401,19;13
21,2416,19;14
21,2501,17;12
21,2506,18;14
21,2511,16;12
21,2516,17;13
21,2521,21;15
21,2526,17;13
21,2536,19;15
21,2551,18;14
21,2561,18;14
21,2601,16;12
21,2628,17;14
21,2630,16;10
21,2707,17;12
21,2726,16;10
22,1101,21;17
22,1216,17;13
22,1260,15;11
22,1266,21;17
22,1271,18;13
22,1276,20;14
22,1281,15;11
22,1282,21;17
22,1401,23;19
22,1411,23;19
22,1421,22;18
22,1427,23;19
22,1451,18;14
22,1521,18;14
22,1537,23;19
22,1551,18;14
22,1553,23;14
22,1556,18;14
22,1557,18;14
22,1561,20;16
22,1562,18;14
22,1566,18;14
22,1571,21;17
22,1581,19;15
22,1591,21;17
22,1601,16;12
22,1606,18;14
22,1611,16;12
22,1636,26;22
22,1641,21;15
22,1651,25;21
22,1656,23;19
22,1661,21;17
22,1681,25;18
22,1696,23;14
22,1760,23;19
22,1801,18;13
22,1811,15;11
22,1816,17;14
22,1821,15;12
22,1841,15;12
22,1861,15;12
22,2101,15;11
22,2116,14;10
22,2121,16;12
22,2201,18;12
22,2401,19;13
22,2416,19;14
22,2501,17;12
22,2506,18;14
22,2521,31;20
22,2526,22;18
22,2536,19;15
22,2551,18;14
22,2561,18;14
22,2628,17;14
22,2630,16;10
22,2707,17;12
22,2726,16;10
23,1101,21;17
23,1216,17;13
23,1260,15;11
23,1266,21;17
23,1271,18;13
23,1276,20;14
23,1281,15;11
23,1282,21;17
23,1401,23;19
23,1411,23;19
23,1421,22;18
23,1427,23;19
23,1451,18;14
23,1521,18;14
23,1537,23;19
23,1551,18;14
23,1553,23;14
23,1556,18;14
23,1557,18;14
23,1561,20;16
23,1562,18;14
23,1566,18;14
23,1571,21;17
23,1581,19;15
23,1591,21;17
23,1601,16;12
23,1606,18;14
23,1611,16;12
23,1636,26;22
23,1641,21;15
23,1651,25;21
23,1656,23;19
23,1661,21;17
23,1681,25;18
23,1696,23;14
23,1760,23;19
23,1801,18;13
23,1811,15;11
23,1816,17;14
23,1821,15;12
23,1841,15;12
23,1861,15;12
23,1941,13;12
23,2101,15;11
23,2116,14;10
23,2121,16;12
23,2201,18;12
23,2401,19;13
23,2416,19;14
23,2501,17;12
23,2506,18;14
23,2521,31;20
23,2526,22;18
23,2536,19;15
23,2551,18;14
23,2561,18;14
23,2628,17;14
23,2630,16;10
23,2707,17;12
23,2726,16;10
24,1266,21;17
24,1276,20;14
24,1281,15;11
24,1282,21;17
24,1401,22;18
24,1411,18;14
24,1421,18;14
24,1636,23;14
24,1656,21;13
24,1661,18;14
24,1681,18;14
24,1816,17;14
24,1821,15;12
24,1841,15;12
24,2101,15;11
24,2116,13;9
24,2121,16;12
24,2516,17;13
24,2521,21;15
24,2561,18;14
24,2726,16;10
25,1101,21;17
25,1216,17;13
25,1260,15;11
25,1266,21;17
25,1271,18;13
25,1276,20;14
25,1281,15;11
25,1282,21;17
25,1401,23;19
25,1411,23;19
25,1421,22;18
25,1427,23;19
25,1451,18;14
25,1521,18;14
25,1537,23;19
25,1551,18;14
25,1553,23;14
25,1556,18;14
25,1557,18;14
25,1561,20;16
25,1562,18;14
25,1566,18;14
25,1571,21;17
25,1581,19;15
25,1591,21;17
25,1601,16;12
25,1606,18;14
25,1611,16;12
25,1636,26;22
25,1641,21;15
25,1651,25;21
25,1656,23;19
25,1661,21;17
25,1681,25;18
25,1696,23;14
25,1760,23;19
25,1801,18;13
25,1811,15;11
25,1816,17;14
25,1821,15;12
25,1841,15;12
25,1861,15;12
25,2101,15;11
25,2116,14;10
25,2121,16;12
25,2201,18;12
25,2401,19;13
25,2416,19;14
25,2501,17;12
25,2506,18;14
25,2511,16;12
25,2516,17;13
25,2521,21;15
25,2526,22;18
25,2536,19;15
25,2551,18;14
25,2561,18;14
25,2628,17;14
25,2630,16;10
25,2707,17;12
25,2726,16;10
26,1101,21;17
26,1216,17;13
26,1260,15;11
26,1266,21;17
26,1271,18;13
26,1276,20;14
26,1281,15;11
26,1282,21;17
26,1401,23;19
26,1411,23;19
26,1421,22;18
26,1427,23;19
26,1451,18;14
26,1521,18;14
26,1537,23;19
26,1551,18;14
26,1553,23;14
26,1556,18;14
26,1557,18;14
26,1561,20;16
26,1562,18;14
26,1566,18;14
26,1571,21;17
26,1581,19;15
26,1591,21;17
26,1601,16;12
26,1606,18;14
26,1611,16;12
26,1636,26;22
26,1641,21;15
26,1651,25;21
26,1656,23;19
26,1661,21;17
26,1681,25;18
26,1696,23;14
26,1760,23;19
26,1801,18;13
26,1811,15;11
26,1816,17;14
26,1821,15;12
26,1841,15;12
26,1861,15;12
26,1941,16;15
26,2101,15;11
26,2116,14;10
26,2121,16;12
26,2201,18;12
26,2401,19;13
26,2416,19;14
26,2501,17;12
26,2506,18;14
26,2511,16;12
26,2516,17;13
26,2521,21;15
26,2526,22;18
26,2536,19;15
26,2551,18;14
26,2561,18;14
26,2628,17;14
26,2630,16;10
26,2707,17;12
26,2726,16;10
27,1201,29;28
27,1606,22;21
27,1801,18;13
27,1816,17;14
27,1821,14;12
27,1841,15;12
27,1861,15;12
27,1901,23;13
27,1911,18;13
27,1941,18;13
27,1942,19;15
27,1951,22;18
27,2006,21;14
27,2101,19;14
27,2116,16;12
27,2121,19;14
27,2201,18;12
27,2306,14;10
27,2501,17;12
27,2506,18;14
27,2511,18;14
27,2516,19;15
27,2521,21;15
27,2526,22;18
27,2536,19;15
27,2541,19;15
27,2551,18;14
27,2561,24;19
27,2578,21;20
27,2616,21;20
27,2621,19;15
27,2628,17;14
27,2630,16;10
27,2707,17;12
27,2726,16;10
27,2826,20;16
28,1201,29;28
28,1208,18;17
28,1606,22;21
28,1801,18;13
28,1816,17;14
28,1821,14;12
28,1841,15;12
28,1861,15;12
28,1901,23;13
28,1911,18;13
28,1941,18;13
28,1942,19;15
28,1951,22;18
28,2006,21;14
28,2101,19;14
28,2116,16;12
28,2121,19;14
28,2201,18;12
28,2306,14;10
28,2501,17;12
28,2506,18;14
28,2511,18;14
28,2516,19;15
28,2521,21;15
28,2526,22;18
28,2536,19;15
28,2541,19;15
28,2551,18;14
28,2561,24;19
28,2578,21;20
28,2616,21;20
28,2621,19;15
28,2628,17;14
28,2630,16;10
28,2707,17;17
28,2726,16;10
28,2826,20;16
29,1201,24;0
29,1216,24;0
29,1636,24;0
29,1656,24;0
29,1681,24;0
29,1760,26;0
29,1901,21;15
29,1911,21;16
29,1941,18;13
29,1942,18;13
29,2006,19;15
29,2101,23;18
29,2201,21;17
29,2301,17;0
29,2511,16;12
29,2516,17;13
29,2551,19;15
29,2561,21;17
29,2581,19;15
29,2616,21;0
30,1636,28;25
30,1656,27;24
30,1681,24;21
30,1901,21;15
30,1911,21;16
30,1941,18;13
30,1942,18;13
30,2006,19;15
30,2101,23;18
30,2201,21;17
30,2301,17;0
30,2511,16;12
30,2516,17;13
30,2551,19;15
30,2561,21;17
30,2581,19;15
30,2616,21;0
30,2621,19;15
31,1101,26;0
31,1216,22;18
31,1271,20;19
31,1281,20;19
31,1282,21;0
31,1401,16;0
31,1411,20;0
31,1421,16;0
31,1427,19;0
31,1451,19;15
31,1521,20;16
31,1551,20;16
31,1553,20;16
31,1557,20;16
31,1561,20;0
31,1562,18;14
31,1566,18;14
31,1571,28;0
31,1581,21;0
31,1591,21;0
31,1636,26;0
31,1651,26;0
31,1656,26;0
31,1661,26;0
31,1681,26;0
31,1760,30;0
31,1911,13;10
31,1941,12;0
31,1951,15;11
31,2101,29;25
31,2201,29;25
31,2511,16;0
31,2516,17;0
31,2521,21;0
31,2526,22;0
31,2536,19;0
31,2551,24;0
31,2561,18;0
31,2578,18;0
31,2580,18;0
31,2581,22;0
31,2726,16;10
31,2826,20;16
32,1201,15;14
32,1216,17;16
32,1901,23;13
32,2101,19;14
32,2116,16;12
32,2121,19;14
32,2201,18;12
32,2301,17;14
32,2306,14;10
32,2501,17;12
32,2516,17;13
32,2521,21;15
32,2561,18;14
32,2601,16;12
32,2616,23;20
32,2621,19;15
32,2628,17;14
32,2826,20;16
33,1216,17;13
33,1266,21;17
33,1271,18;13
33,1281,15;11
33,1282,21;17
33,1401,23;19
33,1411,23;19
33,1553,18;14
33,1606,18;14
33,1636,26;22
33,1661,21;17
33,1681,25;18
33,1816,17;14
33,1821,15;12
33,2101,16;11
33,2511,16;12
33,2516,17;13
33,2521,21;15
33,2726,16;10
34,1901,16;12
34,2101,26;22
34,2521,24;20
SL,1636,26;22
SL,1656,23;19
SL,2521,31;20
SL,1941,13;12
SL,2201,18;12
SL,2726,16;10
CP,1901,16;12
CP,2521,24;20
CP,2101,26;22
CP,2116,26;22
