医療機関,合計,療養,精神,結核感染症,一般
23015,274,46,0,0,228
23016,300,50,51,0,199
23017,558,0,0,0,558
23018,313,0,0,0,313
23021,267,0,0,0,267
23022,468,0,0,0,468
23024,320,0,0,0,320
23025,672,0,0,6,666
23026,606,0,0,6,600
23027,513,0,0,0,513
23028,190,42,0,0,148
23029,800,0,0,20,780
23030,558,0,106,8,444
23031,382,0,0,0,382
23032,210,210,0,0,0
23033,316,55,0,0,261
23034,540,0,0,6,534
23035,364,47,0,0,317
23037,812,0,0,2,810
23038,236,0,0,0,236
23039,373,0,0,0,373
23040,199,0,0,0,199
23041,1435,0,51,0,1384
23042,370,0,0,0,370
23043,250,0,0,0,250
23044,584,0,0,24,560
23045,276,240,0,0,36
23046,321,0,0,0,321
23047,300,0,0,0,300
23048,276,0,0,56,220
23049,230,230,0,0,0
23050,407,0,0,60,347
23051,500,0,0,0,500
23052,715,0,0,0,715
23053,404,0,0,10,394
23054,464,0,0,0,464
23055,259,54,0,6,199
23057,183,0,0,0,183
23058,900,0,47,0,853
23059,562,0,0,6,556
23060,684,54,0,0,630
23062,662,0,0,0,662
23063,500,0,0,0,500
23065,498,0,0,10,488
23066,400,0,0,0,400
23067,440,0,0,0,440
23068,436,0,0,0,436
23069,100,100,0,0,0
23070,207,0,207,0,0
23071,137,41,0,0,96
23072,261,,,,
23073,165,165,0,0,0
23074,150,40,0,0,110
23075,300,0,0,0,300
23076,434,,,,434
23077,292,172,120,0,0
23078,132,0,0,0,132
23079,55,55,0,0,0
23080,313,0,0,0,313
23081,284,0,0,0,284
23082,156,0,0,0,156
23083,420,104,0,0,316
23084,230,93,0,0,137
23085,130,0,0,0,130
23086,390,166,0,0,224
23087,92,,,,
23088,297,,,,
24001,260,0,0,2,258
24002,486,0,0,36,450
24003,335,0,0,0,335
24004,460,0,0,2,458
24005,328,0,0,0,328
24006,685,0,30,0,655
24007,655,0,0,4,651
24008,568,0,0,2,566
24009,235,0,0,0,235
24011,228,123,0,0,105
24012,290,0,0,0,290
24013,322,52,0,0,270
24014,350,0,100,0,250
24015,430,0,0,0,430
24016,232,0,0,0,232
24017,234,0,0,0,234
24018,349,0,0,0,349
24019,440,0,0,0,440
24020,390,277,0,0,113
24021,220,0,0,0,220
24022,443,0,0,0,443
24023,200,0,0,0,200
24024,244,40,0,4,200
24025,281,40,0,0,241
24026,255,56,0,0,199
24027,230,,,,
24028,348,0,348,0,0
24029,100,0,0,0,100
24030,95,43,,,52
24031,218,41,0,0,177
24032,780,115,590,0,75
25001,614,0,45,0,569
25002,796,0,12,0,784
25003,445,0,0,8,437
25004,719,0,0,0,719
25005,504,0,70,4,430
25006,210,0,0,4,206
25007,535,0,0,0,535
25008,325,0,0,37,288
25009,616,104,0,0,512
25010,407,0,0,4,403
25011,320,0,0,16,304
25012,393,0,0,6,387
25013,413,0,0,0,413
25014,168,102,0,0,66
25015,199,0,0,0,199
25016,458,0,0,14,444
25017,338,32,120,0,186
25019,400,290,0,0,110
25020,150,,,,
25021,199,88,0,0,111
26001,1121,0,60,15,1046
26002,879,0,31,2,846
26003,600,0,0,0,600
26004,411,50,0,0,361
26005,277,0,0,0,277
26006,595,120,60,0,415
26008,282,0,0,0,282
26009,207,0,0,0,207
26010,500,0,0,0,500
26011,525,0,0,0,525
26014,313,54,0,0,259
26016,354,0,0,14,340
26018,322,0,0,0,322
26019,300,0,0,0,300
26020,412,0,0,10,402
26021,639,0,0,0,639
26022,666,0,0,4,662
26024,350,0,0,50,300
26026,473,0,0,0,473
26027,380,0,0,0,380
26028,206,0,0,0,206
26029,306,50,0,0,256
26030,419,0,0,0,419
26031,321,0,0,10,311
26032,350,0,0,0,350
26033,390,38,186,0,166
26034,295,0,0,19,276
26035,409,0,120,0,289
26036,548,0,0,20,528
26037,174,0,0,0,174
26038,198,0,0,0,198
26039,177,0,0,0,177
26040,170,60,0,0,110
26041,199,0,0,0,199
26042,150,0,0,0,150
26043,188,,,,
26044,44,0,0,0,44
26045,350,120,0,0,230
26046,133,0,0,0,133
26047,255,0,255,0,0
26048,102,0,0,0,102
26049,204,0,0,0,204
26050,200,48,0,0,152
26051,167,0,0,0,167
27001,1078,0,52,0,1026
27002,658,0,8,0,650
27003,400,0,0,0,400
27004,882,0,60,0,822
27005,341,0,0,0,341
27007,613,0,0,14,599
27008,343,0,0,0,343
27010,500,0,0,0,500
27012,380,0,0,0,380
27013,446,0,0,6,440
27014,477,0,0,0,477
27015,217,0,0,0,217
27016,359,0,0,0,359
27017,477,0,39,0,438
27018,388,0,0,0,388
27019,464,0,0,74,390
27020,547,0,0,0,547
27021,500,500,0,0,0
27022,218,0,0,0,218
27023,299,0,0,0,299
27024,500,0,0,0,500
27025,370,47,0,0,323
27026,768,0,34,0,734
27027,415,0,0,0,415
27028,235,0,0,0,235
27029,499,0,0,0,499
27030,565,0,0,0,565
27032,440,60,0,0,380
27033,699,0,12,0,687
27034,329,14,0,0,315
27035,630,0,0,0,630
27036,320,0,0,0,320
27037,350,0,0,0,350
27038,300,0,0,0,300
27040,1063,0,840,0,223
27041,933,0,0,0,933
27042,230,0,0,0,230
27044,678,0,0,0,678
27045,1063,0,55,33,975
27046,612,0,0,0,612
27047,487,0,0,7,480
27048,317,0,0,0,317
27049,980,0,38,0,942
27050,341,0,0,0,341
27051,431,0,0,0,431
27052,343,0,0,0,343
27053,364,0,0,0,364
27054,301,0,0,0,301
27055,1000,0,42,0,958
27056,263,0,0,0,263
27057,220,0,0,0,220
27058,580,0,0,0,580
27059,520,0,0,0,520
27060,400,0,0,0,400
27061,750,0,0,0,750
27062,580,0,0,0,580
27063,969,734,0,0,235
27064,477,0,0,0,477
27065,304,0,0,0,304
27066,355,0,0,0,355
27067,712,0,0,0,712
27069,315,42,0,0,273
27070,329,0,0,0,329
27071,400,0,0,0,400
27072,327,0,0,0,327
27073,190,0,0,0,190
27074,263,0,0,39,224
27075,225,0,0,0,225
27076,230,,,,
27077,261,48,213,0,0
27078,500,0,0,90,410
27079,171,0,0,0,171
27080,120,0,0,0,120
27081,249,0,0,0,249
27082,275,0,0,0,275
27083,135,0,0,0,135
27084,380,0,0,0,380
27085,690,0,690,0,0
27086,80,0,0,0,80
27087,170,0,0,0,170
27088,401,46,0,0,355
27089,347,112,0,0,235
27090,41,0,0,0,41
27091,331,,,,
27092,307,0,0,0,307
27093,292,0,0,0,292
27094,335,,,,
27095,310,0,0,0,310
27096,267,0,267,0,0
27097,60,,,,
27098,400,0,0,0,400
27099,30,0,0,0,30
27100,127,0,0,0,127
27101,60,60,0,0,0
27102,386,0,0,0,386
27103,276,0,0,0,276
27104,300,0,0,0,300
27105,385,0,0,60,325
27106,280,135,0,0,145
27107,313,0,0,0,313
27108,265,0,0,0,265
27109,88,45,0,0,43
27111,191,41,0,30,120
27112,482,132,0,0,350
27113,199,60,0,0,139
27114,300,,,,
27115,250,0,0,0,250
27116,214,121,0,0,93
27117,185,42,0,0,143
27118,243,0,0,0,243
27119,170,0,0,0,170
27120,60,,,,
27121,222,0,0,0,222
27122,233,27,0,0,206
27123,224,,,,
27124,208,35,0,0,173
27125,66,20,0,0,46
27126,180,0,0,0,180
27127,265,0,0,0,265
27128,270,42,0,0,228
27129,23,0,0,0,23
27130,117,0,0,0,117
27131,70,0,0,0,70
27132,115,0,0,0,115
27133,347,81,0,0,266
27134,75,0,0,0,75
28001,934,0,46,0,888
28002,353,0,0,8,345
28003,400,0,0,0,400
28004,184,0,0,0,184
28005,290,0,0,0,290
28006,397,0,0,0,397
28007,730,0,8,8,714
28008,475,,,,
28009,708,0,8,10,690
28010,313,0,0,0,313
28011,424,0,0,0,424
28012,325,0,0,0,325
28014,278,0,0,0,278
28015,392,0,0,0,392
28017,350,0,0,0,350
28018,358,0,0,0,358
28019,441,0,45,19,377
28020,963,0,44,0,919
28021,266,0,0,6,260
28022,265,0,0,0,265
28023,400,0,0,0,400
28024,642,0,0,0,642
28026,215,0,0,0,215
28027,205,0,0,0,205
28028,320,0,0,0,320
28029,382,0,0,0,382
28030,234,0,0,0,234
28031,453,0,0,0,453
28032,360,0,0,0,360
28033,357,46,0,0,311
28034,268,0,0,0,268
28035,326,0,0,0,326
28036,377,0,0,0,377
28037,436,0,0,0,436
28039,398,0,0,0,398
28041,600,0,0,0,600
28042,555,0,0,6,549
28043,257,0,0,0,257
28044,420,55,0,7,358
28045,400,0,0,0,400
28046,309,77,0,0,232
28047,199,0,0,0,199
28048,191,0,0,0,191
28049,518,0,51,4,463
28050,396,0,0,4,392
28051,170,0,0,0,170
28052,300,0,0,0,300
28053,307,0,0,0,307
28054,199,0,0,0,199
28055,500,0,350,50,100
28056,360,0,0,0,360
28057,302,0,0,0,302
28058,206,0,0,0,206
28059,425,328,0,0,97
28060,178,,,,
28061,120,0,0,0,120
28062,199,39,0,0,160
28063,99,0,0,0,99
28064,199,0,0,0,199
28065,199,0,0,0,199
28066,188,0,0,0,188
28067,19,0,0,0,19
28068,420,0,0,0,420
28069,180,120,0,0,60
28070,95,0,0,0,95
28072,42,0,0,0,42
28073,60,60,0,0,0
28074,201,0,0,0,201
28075,180,0,0,0,180
28076,174,108,0,0,66
28077,166,45,0,0,121
28078,178,0,0,0,178
28079,155,,,,
28080,310,0,0,0,310
28081,254,79,0,0,175
28082,180,0,0,0,180
28083,430,0,0,0,430
28084,139,0,0,0,139
28085,164,0,0,0,164
28086,189,0,0,0,189
28087,178,45,0,0,133
28088,122,0,0,0,122
28089,109,50,0,0,59
28090,192,40,0,0,152
28091,92,0,0,0,92
28092,139,0,0,0,139
28093,199,0,0,0,199
28094,180,44,0,0,136
28095,266,0,266,0,0
28096,90,60,0,0,30
28097,121,0,0,0,121
28098,104,44,0,0,60
28099,110,23,0,0,87
28100,99,0,0,0,99
29001,978,0,108,9,861
29002,375,0,0,0,375
29003,300,0,0,0,300
29004,199,0,0,0,199
29005,235,0,0,0,235
29006,192,0,0,0,192
29009,815,0,0,0,815
29010,220,0,0,0,220
29011,210,168,0,0,42
29012,249,0,0,0,249
29013,324,0,0,4,320
29014,518,0,0,0,518
29015,166,0,0,0,166
29016,350,0,0,40,310
29017,300,120,0,0,180
29019,350,0,0,0,350
29029,320,0,0,0,320
29030,176,0,0,0,176
29031,150,50,0,0,100
29032,205,205,0,0,0
29033,138,96,0,0,42
29034,263,0,163,0,100
30001,800,0,40,0,760
30002,727,0,0,8,719
30003,316,0,0,0,316
30004,304,0,0,4,300
30005,300,0,0,0,300
30006,356,0,0,4,352
30007,303,0,0,0,303
30008,400,0,100,4,296
30009,325,0,0,20,305
30010,200,177,0,0,23
30011,200,0,0,0,200
30012,157,45,0,4,108
30013,182,51,0,0,131
30014,150,0,0,0,150
30014,150,0,0,0,150
30015,99,49,0,0,50
30016,304,0,0,0,304
30017,149,,,,
30018,102,0,0,0,102
31001,697,0,40,8,649
31002,431,0,0,14,417
31003,373,0,0,0,373
31004,199,38,0,0,161
31005,304,0,0,4,300
31006,400,0,0,0,400
31007,260,0,0,0,260
31008,197,30,0,2,165
31009,523,160,213,18,132
31010,340,0,0,0,340
31011,270,,,,
31012,178,95,0,0,83
31013,120,52,0,0,68
31014,198,50,99,0,49
31015,180,120,0,0,60
31016,98,0,0,0,98
31017,48,0,0,0,48
32001,600,0,30,0,570
32002,599,0,45,2,552
32003,245,245,0,0,0
32004,634,0,40,6,588
32005,339,55,0,4,280
32006,260,100,0,0,160
32008,301,,,,
32009,343,132,0,0,211
32010,284,0,0,8,276
32011,351,40,0,0,311
32012,470,0,50,4,416
32013,365,0,0,4,361
32015,183,48,0,0,135
32016,115,,,,
32017,340,0,0,12,328
33001,849,0,34,2,813
33002,1182,0,28,0,1154
33003,553,0,0,0,553
33004,320,0,0,0,320
33005,1161,0,0,10,1151
33006,282,0,0,0,282
33008,647,0,0,0,647
33009,605,0,0,0,605
33010,269,0,0,0,269
33011,535,0,0,30,505
33012,220,0,0,0,220
33013,500,0,0,0,500
33014,256,213,0,0,43
33015,297,0,0,0,297
33017,358,0,0,0,358
33018,400,120,0,25,255
33019,400,0,0,13,387
33020,179,88,0,0,91
33021,155,0,0,0,155
33022,202,0,0,0,202
33023,198,33,0,0,165
33024,180,60,0,0,120
33025,96,42,0,0,54
33026,150,0,0,0,150
33027,191,0,0,0,191
33028,196,0,0,0,196
33029,231,0,0,0,231
33030,70,31,0,0,39
33031,60,0,0,0,60
33032,59,,,,
33033,72,,,,
33034,130,0,0,0,130
33035,148,,,,
34001,746,0,20,2,724
34002,743,0,28,0,715
34003,700,0,50,0,650
34004,410,0,0,0,410
34006,250,0,0,0,250
34007,240,88,0,0,152
34008,323,,,,
34010,275,0,0,0,275
34011,244,0,0,0,244
34012,440,0,0,46,394
34013,263,52,0,0,211
34015,312,0,0,0,312
34016,566,0,0,0,566
34017,700,0,30,0,670
34018,270,0,0,0,270
34019,506,0,0,6,500
34020,156,0,0,16,140
34021,226,0,0,0,226
34022,527,0,0,0,527
34023,267,0,0,6,261
34024,561,0,0,0,561
34025,393,0,0,0,393
34026,410,0,0,0,410
34027,301,41,0,0,260
34028,149,52,44,0,53
34030,186,0,0,0,186
34031,325,0,325,0,0
34032,275,175,0,0,100
34033,146,95,0,0,51
34034,429,0,429,0,0
34035,150,50,0,0,100
34036,150,0,0,0,150
34037,120,0,0,0,120
34038,290,0,0,0,290
34039,110,0,0,0,110
34040,89,40,0,0,49
34041,126,94,0,0,32
34042,180,120,0,0,60
34043,114,60,0,0,54
34044,401,0,0,20,381
34045,140,60,0,0,80
34046,201,0,0,0,201
34047,188,42,0,0,146
34048,193,80,0,0,113
34049,38,0,0,0,38
34050,100,0,0,0,100
34051,74,50,0,0,24
34052,140,,,,
34053,143,0,0,0,143
34054,165,0,0,0,165
34055,35,0,0,0,35
34801,440,240,0,0,200
34802,350,0,0,0,350
34803,340,54,120,0,166
34804,394,,,,
34805,99,0,0,0,99
34806,160,0,0,0,160
35001,736,0,51,0,685
35002,530,0,0,0,530
35003,310,0,0,0,310
35004,309,91,0,8,210
35005,234,59,0,0,175
35006,313,0,0,0,313
35008,436,0,0,6,430
35009,373,0,0,0,373
35010,519,0,0,12,507
35011,250,62,62,60,66
35012,365,0,0,30,335
35014,504,0,0,14,490
35015,229,229,0,0,0
35016,475,0,0,0,475
35018,280,0,0,0,280
35019,440,440,0,0,0
35020,213,0,0,0,213
35021,215,0,0,0,215
35022,145,49,0,0,96
35023,54,0,0,0,54
35025,80,40,0,0,40
35026,135,93,0,0,42
35027,360,0,0,0,360
35028,210,0,0,0,210
35029,184,83,0,0,101
35030,250,,,,
35031,275,89,0,0,186
35032,150,0,0,0,150
35033,100,,,,
35801,400,0,0,0,400
35802,404,0,0,0,404
35803,330,100,0,0,230
35804,182,0,0,0,182
35805,201,0,0,0,201
36001,696,0,45,8,643
36002,405,0,0,0,405
36003,339,0,0,0,339
36005,210,153,0,0,57
36006,460,0,60,10,390
36007,192,0,192,0,0
36008,165,0,0,8,157
36009,290,0,0,0,290
36010,120,0,0,0,120
36011,110,0,0,8,102
36012,307,,,,
36013,276,0,0,20,256
36014,42,0,0,0,42
36015,300,0,0,0,300
36016,186,0,0,0,186
37001,486,0,0,4,482
37003,402,0,51,0,351
37004,279,0,0,0,279
37005,254,55,0,0,199
37006,387,0,70,6,311
37008,613,0,26,0,587
37009,531,0,0,5,526
37010,689,0,22,0,667
37012,191,0,0,0,191
37014,194,0,0,0,194
37015,576,0,0,8,568
37016,404,0,0,0,404
37017,150,0,0,0,150
37018,179,0,0,0,179
37019,130,90,0,0,40
37020,179,0,0,0,179
37021,198,50,0,0,148
38001,600,0,0,0,600
38002,255,0,46,0,209
38003,306,0,0,0,306
38005,290,218,0,0,72
38007,432,0,0,0,432
38008,207,38,0,0,169
38009,435,0,0,9,426
38010,405,0,0,0,405
38011,827,0,0,3,824
38012,681,0,0,3,678
38013,199,0,0,0,199
38014,401,0,0,0,401
38015,313,0,0,23,290
38016,350,60,0,0,290
38017,380,160,0,20,200
38018,320,0,50,0,270
38019,213,100,113,0,0
38020,743,0,743,0,0
38021,191,20,0,0,171
38022,88,0,0,0,88
38024,180,0,0,0,180
38025,114,0,0,0,114
38026,154,50,0,2,102
38027,242,0,0,2,240
38028,306,,,,
38029,120,0,0,0,120
38030,150,0,0,0,150
38031,155,30,0,0,125
38032,95,0,0,0,95
38033,139,0,139,0,0
38034,241,108,0,0,133
38035,105,45,0,0,60
38036,144,48,0,0,96
38037,100,45,0,0,55
38038,256,0,0,2,254
38039,96,0,0,0,96
39001,600,0,30,0,570
39002,270,0,90,5,175
39003,660,0,44,28,588
39004,512,0,60,0,452
39005,468,0,0,12,456
39006,355,0,0,28,327
39007,424,0,0,22,402
39008,238,48,0,0,190
39009,150,0,0,0,150
39010,98,48,0,0,50
39011,106,37,0,0,69
39012,317,153,0,0,164
39013,178,0,0,0,178
40001,678,0,40,0,638
40002,702,0,50,2,650
40003,602,0,0,2,600
40005,213,0,0,0,213
40007,230,137,0,0,93
40008,1025,0,44,0,981
40010,175,0,0,0,175
40011,242,0,0,8,234
40017,636,0,0,16,620
40018,499,108,0,0,391
40019,300,41,0,0,259
40020,298,238,0,0,60
40021,403,0,0,0,403
40022,313,0,0,0,313
40023,204,0,0,4,200
40024,233,0,0,0,233
40025,380,0,0,0,380
40026,511,0,0,2,509
40027,915,0,60,0,855
40028,239,0,0,0,239
40032,351,0,0,0,351
40033,219,48,0,0,171
40034,575,0,0,0,575
40035,368,0,0,0,368
40036,350,0,0,0,350
40037,468,0,0,0,468
40038,411,0,0,0,411
40039,188,0,0,0,188
40041,199,130,0,0,69
40042,369,0,0,0,369
40044,1275,0,93,11,1171
40045,591,0,0,50,541
40046,260,0,0,0,260
40047,217,0,0,0,217
40048,1097,100,60,6,931
40049,233,0,0,2,231
40050,1116,0,0,0,1116
40052,254,96,0,0,158
40053,453,16,0,0,437
40054,360,0,0,0,360
40055,466,55,0,0,411
40056,228,60,0,0,168
40057,235,0,0,0,235
40058,330,0,0,0,330
40059,246,0,0,0,246
40060,250,0,0,0,250
40061,150,,,,150
40062,658,0,0,0,658
40063,400,0,0,20,380
40064,359,0,0,0,359
40065,450,0,0,0,450
40066,300,0,0,0,300
40067,218,0,0,0,218
40068,310,0,0,2,308
40069,335,35,0,0,300
40070,250,0,0,0,250
40071,214,0,0,0,214
40072,237,0,237,0,0
40073,150,0,0,0,150
40074,350,0,0,0,350
40075,300,0,0,0,300
40076,191,0,191,0,0
40077,156,0,0,0,156
40078,163,99,0,0,64
40079,206,152,0,0,54
40080,144,0,0,0,144
40081,140,0,0,0,140
40082,181,0,0,0,181
40083,196,0,0,0,196
40084,227,0,0,0,227
40085,100,0,0,0,100
40086,175,,,,
40087,342,0,0,8,334
40088,192,45,0,0,147
40089,452,0,408,0,44
40090,135,87,0,0,48
40091,506,80,0,0,426
40092,400,0,50,0,350
40093,80,48,0,0,32
40094,62,0,0,0,62
40095,198,0,0,0,198
40096,178,120,0,0,58
40098,198,0,0,0,198
40099,148,50,0,0,98
40100,199,92,0,0,107
40101,118,57,0,0,61
40102,96,36,0,0,60
40103,99,45,0,0,54
40104,174,174,0,0,0
40105,266,100,0,0,166
40106,181,101,0,0,80
40107,199,70,0,0,129
40108,300,0,0,0,300
40109,150,0,0,0,150
40110,150,0,0,0,150
41001,604,0,24,0,580
41002,424,0,0,4,420
41003,450,0,0,8,442
41004,304,0,0,4,300
41005,160,0,0,0,160
41006,19,,,,
41007,193,45,0,0,148
41008,504,0,404,0,100
41009,152,0,0,0,152
41010,19,,,,
41801,390,165,0,34,191
41802,292,0,0,0,292
42001,869,0,42,8,819
42003,643,0,33,0,610
42004,513,0,0,19,494
42006,353,40,0,0,313
42007,594,0,0,24,570
42008,350,0,0,0,350
42009,323,0,0,8,315
42010,284,0,0,4,280
42011,304,140,0,0,164
42012,312,0,0,0,312
42013,254,0,0,4,250
42014,350,0,0,0,350
42015,315,56,0,5,254
42016,234,59,0,0,175
42017,266,155,0,0,111
42018,184,0,0,0,184
42019,46,,,,
42020,88,48,0,0,40
42021,112,0,0,0,112
42022,200,120,0,0,80
42023,275,0,45,8,222
42024,153,0,0,0,153
42025,208,32,0,0,176
42026,111,,,,
42027,104,,,,
42028,205,0,0,0,205
42029,142,,,,
42030,178,48,0,10,120
42031,160,0,0,0,160
43001,550,0,50,0,500
43002,172,0,0,22,150
43003,490,0,0,0,490
43004,845,0,50,0,795
43005,361,0,0,0,361
43006,199,0,0,0,199
43007,400,0,0,0,400
43008,410,0,0,0,410
43009,234,133,0,0,101
43010,410,0,0,0,410
43012,308,0,0,0,308
43013,198,80,0,15,103
43016,252,0,0,4,248
43017,227,0,0,0,227
43020,513,0,0,0,513
43021,274,0,0,0,274
43022,204,0,0,0,204
43023,24,0,0,0,24
43024,401,0,0,4,397
43025,210,0,0,0,210
43026,302,0,0,0,302
43027,141,39,,,102
43028,195,46,0,0,149
43029,170,110,0,0,60
43030,96,0,0,30,66
43031,48,0,0,0,48
43032,324,,,,
43033,199,0,0,0,199
43034,344,0,0,4,340
43035,88,32,0,0,56
43036,100,0,0,0,100
43037,155,0,0,6,149
43038,142,48,0,0,94
43039,110,96,0,0,14
43040,99,60,0,0,39
43041,186,136,0,0,50
43042,232,155,0,0,77
43044,204,0,0,4,200
43045,145,,,,
43046,154,154,0,0,0
44001,618,0,30,0,588
44002,500,0,40,0,460
44003,250,100,0,0,150
44004,406,0,0,0,406
44005,340,0,0,0,340
44006,260,0,0,0,260
44008,269,0,0,0,269
44009,204,0,0,0,204
44010,521,0,0,12,509
44011,224,0,0,0,224
44012,300,0,0,0,300
44013,350,200,0,50,100
44014,230,0,0,4,226
44015,250,0,0,0,250
44016,138,18,0,0,120
44017,118,,,,
44019,179,0,0,0,179
44020,93,0,0,0,93
44021,153,46,0,0,107
44022,110,0,0,0,110
44023,199,39,0,4,156
44025,153,0,0,0,153
44026,208,50,0,0,158
44027,120,0,0,0,120
44028,188,0,0,0,188
44029,130,0,0,0,130
44030,117,30,0,0,87
44032,112,,,,
44033,237,,,,
45001,307,0,0,0,307
45002,632,0,36,0,596
45003,653,0,42,6,605
45004,460,0,0,4,456
45005,334,,,,
45006,350,238,0,0,112
45007,248,0,0,0,248
45008,446,162,0,0,284
45009,363,0,92,0,271
45010,300,0,0,60,240
45011,88,37,0,0,51
45012,116,0,0,0,116
45013,104,0,0,0,104
45014,196,45,0,0,151
45016,180,0,0,0,180
45017,120,60,0,0,60
45018,108,,,,
45019,269,,,,
45020,42,0,0,0,42
45021,343,50,0,0,293
45022,108,0,0,0,108
46001,368,0,0,0,368
46002,702,0,40,0,662
46003,338,0,0,0,338
46004,310,20,0,0,290
46005,574,0,0,6,568
46006,293,0,40,0,253
46007,450,0,0,0,450
46008,143,0,0,4,139
46009,274,0,0,4,270
46010,475,0,0,50,425
46011,198,,,,
46012,255,0,0,0,255
46013,197,36,0,0,161
46014,306,80,0,0,226
46016,254,0,0,4,250
46017,224,0,0,4,220
46018,120,0,0,0,120
46019,110,0,0,0,110
46020,350,0,0,15,335
46021,140,0,0,24,116
46022,184,0,0,0,184
46023,219,0,0,0,219
46024,313,0,0,0,313
46025,118,0,0,0,118
46026,260,167,0,0,93
46027,186,0,0,0,186
46028,142,0,0,0,142
46029,216,0,0,0,216
46030,244,0,0,0,244
46031,131,50,0,0,81
46032,222,0,0,0,222
46033,199,79,0,1,119
46034,82,82,0,0,0
46035,172,,,,
46036,305,0,0,0,305
46037,154,51,0,0,103
46038,189,,,,
46039,64,0,0,0,64
46040,132,70,0,0,62
46041,204,0,0,2,202
46042,70,40,0,0,30
47001,600,0,40,4,556
47002,300,0,0,0,300
47004,311,0,0,0,311
47005,336,0,0,0,336
47006,200,0,0,0,200
47007,393,84,309,0,0
47009,470,0,0,0,470
47010,276,,,,
47011,327,0,0,0,327
47012,550,0,0,4,546
47013,320,0,0,50,270
47015,314,0,0,0,314
47016,434,0,5,6,423
47017,376,0,0,0,376
47018,280,0,0,0,280
47019,331,0,0,0,331
47020,214,0,0,0,214
47021,345,0,0,0,345
47022,99,46,0,0,53
47024,350,0,50,9,291
47025,343,34,232,0,77
47026,140,45,0,0,95
47027,154,60,0,0,94
47028,205,,,,
47029,154,54,0,0,100
47030,90,,,,
