医療機関,合計,療養,精神,結核感染症,一般
06011,308,102,0,30,176
06012,494,0,20,4,470
06013,186,,,,
06014,637,0,36,0,601
06015,528,0,0,0,528
06016,388,0,0,2,386
06018,199,0,0,0,199
06019,360,0,0,0,360
06020,190,0,0,0,190
07001,461,0,0,0,461
07002,311,0,0,12,299
07003,461,0,0,0,461
07004,305,0,0,0,305
07005,887,174,0,0,713
07007,303,0,0,0,303
07008,230,0,0,0,230
07009,230,0,0,0,230
07010,1105,0,50,0,1055
07011,761,0,0,52,709
07012,226,0,0,0,226
07013,778,0,49,16,713
07014,406,0,0,0,406
07015,226,0,0,22,204
07016,897,0,204,0,693
07018,240,0,0,6,234
07019,348,0,39,6,303
07020,471,0,0,16,455
07021,98,0,0,0,98
07022,430,,,,
07023,237,138,0,0,99
07024,240,120,0,0,120
07025,193,91,0,0,102
07026,495,0,495,0,0
07027,114,0,0,0,114
08001,472,0,0,0,472
08002,302,0,0,2,300
08003,543,0,0,4,539
08004,273,50,0,0,223
08007,100,0,0,0,100
08009,203,0,0,0,203
08010,800,0,0,0,800
08011,389,0,0,0,389
08012,331,0,0,31,300
08013,487,100,0,0,387
08014,800,0,41,0,759
08015,453,0,0,3,450
08017,358,0,0,2,356
08018,210,0,0,0,210
08019,313,0,0,0,313
08020,489,55,0,0,434
08021,230,0,0,0,230
08022,500,0,0,25,475
08023,377,0,0,10,367
08024,250,0,0,0,250
08025,312,0,0,0,312
08026,500,0,0,0,500
08027,346,0,0,20,326
08028,299,46,0,0,253
08029,470,50,350,0,70
08030,414,0,0,8,406
08031,224,30,0,0,194
08032,200,0,0,2,198
08033,115,0,0,0,115
08034,319,,,,
08035,60,0,0,0,60
08036,199,148,0,0,51
08037,120,0,0,0,120
08038,178,0,0,0,178
08039,199,0,0,0,199
08040,160,0,0,4,156
08041,194,106,0,0,88
08042,62,0,0,0,62
08043,261,0,178,6,77
08044,261,,,,
08045,55,0,0,0,55
08046,313,,,,
08047,234,54,0,0,180
08048,179,39,0,0,140
09001,350,0,0,6,344
09002,324,0,0,0,324
09003,251,46,0,6,199
09004,352,0,50,0,302
09005,460,0,0,6,454
09006,319,60,0,0,259
09007,1167,0,42,0,1125
09008,531,100,51,4,376
09009,644,0,0,0,644
09010,1132,0,56,1,1075
09011,555,0,40,15,500
09014,400,0,0,1,399
09015,398,0,52,0,346
09016,370,0,0,30,340
09017,353,0,0,0,353
09018,342,0,0,0,342
09019,96,,,,
09020,199,0,0,0,199
